 player_id,full_name,position
00-0025401,Darrelle Revis,CB
00-0026144,Darren McFadden,RB
00-0014724,Darren Sharper,UNK
00-0023564,Darren Sproles,RB
00-0028334,Darrin Walls,DB
00-0026983,Darrius Heyward-Bey,WR
00-0027703,Darryl Sharpton,UNK
00-0024278,Darryl Tapp,UNK
00-0029612,Daryl Richardson,RB
00-0022839,Daryl Smith,LB
00-0027886,Daryl Washington,UNK
00-0025513,Dashon Goldson,UNK
00-0003739,Daunte Culpepper,UNK
00-0031381,Davante Adams,WR
00-0022814,Dave Ball,UNK
00-0023635,Dave Rayner,UNK
00-0024467,Dave Tollefson,UNK
00-0021235,Dave Zastudil,UNK
00-0000108,David Akers,UNK
00-0030420,David Amerson,CB
00-0024465,David Anderson,UNK
00-0030517,David Bass,OLB
00-0001563,David Bowens,UNK
00-0027083,David Bruton,DB
00-0027119,David Buehler,UNK
00-0027464,David Caldwell,UNK
00-0020608,David Carr,UNK
00-0021231,David Garrard,UNK
00-0027795,David Gettis,UNK
00-0025434,David Harris,ILB
00-0025999,David Hawthorne,UNK
00-0032187,David Johnson,RB
00-0025532,David Jones,UNK
00-0027322,David Nelson,UNK
00-0027755,David Reed,UNK
00-0024301,David Thomas,UNK
00-0026392,David Vobora,UNK
00-0029251,David Wilson,UNK
00-0028069,Davon House,CB
00-0026000,Davone Bess,UNK
00-0024360,Dawan Landry,UNK
00-0031060,De'Anthony Thomas,WR
00-0030564,DeAndre Hopkins,WR
00-0027050,DeAndre Levy,OLB
00-0022923,DeAngelo Hall,SS
00-0024242,DeAngelo Williams,RB
00-0028084,DeJon Gomes,UNK
00-0028009,DeMarco Murray,RB
00-0023445,DeMarcus Ware,OLB
00-0024248,DeMeco Ryans,UNK
00-0026189,DeSean Jackson,WR
00-0029191,DeShawn Shead,CB
00-0021192,Deion Branch,UNK
00-0027779,Deji Karim,UNK
00-0027812,Dekoda Watson,UNK
00-0024389,Delanie Walker,TE
00-0028057,Delone Carter,UNK
00-0029607,Demario Davis,LB
00-0027874,Demaryius Thomas,WR
00-0030451,Demetrius McCray,CB
00-0022707,Demorrio Williams,UNK
00-0030547,Denard Robinson,RB
00-0028086,Denarius Moore,UNK
00-0026296,Dennis Dixon,UNK
00-0030236,Dennis Johnson,UNK
00-0019650,Dennis Northcutt,UNK
00-0027714,Dennis Pitta,TE
00-0027063,Deon Butler,UNK
00-0019560,Deon Grant,UNK
00-0031366,Deone Bucannon,OLB
00-0029388,Deonte Thompson,WR
00-0023645,Derek Anderson,QB
00-0031280,Derek Carr,QB
00-0027047,Derek Cox,UNK
00-0024297,Derek Hagan,UNK
00-0025553,Derek Landri,UNK
